n,k,dim,rank,N,mu_min
451,2,77029,2436,5416,0.4353385516
452,2,77816,2440,5428,0.6924742936
453,2,78211,2442,5440,0.2142246155
454,2,78211,2447,5452,0.1288947145
455,2,79004,2453,5464,0.7309410864
456,2,79004,2456,5476,0.6501610849
457,2,79402,2460,5488,0.2903665759
458,2,79801,2463,5500,0.0022668330
459,2,80201,2466,5512,0.4935227554
460,2,80201,2469,5524,0.7836924930
461,2,80602,2476,5536,0.7511259537
462,2,80602,2480,5548,0.7996477667
463,2,81004,2479,5560,0.6064848780
464,2,81004,2487,5572,0.7069777670
465,2,81811,2489,5584,0.6324714213
466,2,82216,2491,5596,0.4662625748
467,2,83029,2496,5608,0.7464571808
468,2,83029,2498,5620,0.7706648787
469,2,83029,2504,5632,0.5846766130
470,2,83437,2506,5644,0.7973695020
471,2,83437,2511,5656,0.8685003123
472,2,83846,2518,5668,0.7357763211
473,2,84256,2518,5680,0.1213796476
474,2,84667,2524,5692,0.8749401926
475,2,85079,2528,5704,0.8559524360
476,2,85492,2532,5716,0.5153073275
477,2,85906,2533,5728,0.8201434858
478,2,85906,2538,5740,0.7965169217
479,2,85906,2543,5752,0.8123486400
480,2,86321,2547,5764,0.9235491615
481,2,86737,2551,5776,0.7041414322
482,2,86737,2554,5788,0.9687787908
483,2,87154,2556,5800,0.0027779281
484,2,87572,2560,5812,0.4376809718
485,2,87991,2564,5824,0.0044626227
486,2,88411,2566,5836,0.8978757672
487,2,88411,2573,5848,0.1057406338
488,2,88832,2578,5860,0.6820769948
489,2,88832,2577,5872,0.8142476812
490,2,89254,2582,5884,0.7747099604
491,2,89254,2587,5896,0.6026733504
492,2,89677,2590,5908,0.8099968273
493,2,90101,2594,5920,0.4405943127
494,2,90526,2595,5932,0.2360595552
495,2,91379,2603,5944,0.8094152918
496,2,91379,2608,5956,0.3060847908
497,2,91379,2611,5968,0.3471435233
498,2,91379,2611,5980,0.2634725357
499,2,91379,2615,5992,0.8433216311
500,2,92236,2619,6004,0.0019033407
501,2,92236,2626,6016,0.9531229572
502,2,92666,2627,6028,0.3805042246
503,2,93097,2631,6040,0.8989077614
504,2,93529,2636,6052,0.6744969441
505,2,93529,2638,6064,0.7547622691
506,2,93962,2642,6076,0.7052246296
507,2,94396,2648,6088,0.8207514329
508,2,94831,2652,6100,0.5510611805
509,2,94831,2654,6112,0.8128292823
510,2,95267,2654,6124,0.1894858529
511,2,95704,2662,6136,0.4525996442
512,2,95704,2664,6148,0.7544366281
513,2,96142,2667,6160,0.8217483200
514,2,96581,2670,6172,0.7997958481
515,2,97021,2675,6184,0.1330713702
516,2,97021,2679,6196,0.7005510403
517,2,97021,2683,6208,0.2142068040
518,2,97462,2687,6220,0.8825766338
519,2,97462,2694,6232,0.7704529499
520,2,98347,2692,6244,0.0105418210
521,2,98347,2699,6256,0.9055150171
522,2,98347,2704,6268,0.1545097184
523,2,98791,2705,6280,0.8819013876
524,2,98791,2710,6292,0.9050231473
525,2,98791,2712,6304,0.0030385060
526,2,98791,2716,6316,0.0668765841
527,2,99236,2724,6328,0.6665010435
528,2,100129,2727,6340,0.8090557721
529,2,100129,2728,6352,0.4210904611
530,2,100577,2731,6364,0.7661271249
531,2,101026,2735,6376,0.8953156798
532,2,101476,2742,6388,0.8679671878
533,2,101476,2743,6400,0.6956960585
534,2,101927,2746,6412,0.1138777222
535,2,102379,2747,6424,0.8127969170
536,2,102832,2756,6436,0.1827869976
537,2,103286,2756,6448,0.6870580611
538,2,103741,2761,6460,0.9734880584
539,2,103741,2763,6472,0.9056273810
540,2,103741,2767,6484,0.1839372105
541,2,103741,2769,6496,0.4534761407
542,2,104654,2775,6508,0.8107338307
543,2,105571,2777,6520,0.7858187789
544,2,105571,2782,6532,0.8517435267
545,2,106031,2786,6544,0.9587944405
546,2,106031,2789,6556,0.7521974963
547,2,106031,2792,6568,0.2164156232
548,2,106031,2798,6580,0.8734711051
549,2,106031,2800,6592,0.7375103899
550,2,106954,2806,6604,0.9571124332
551,2,107417,2810,6616,0.8315970403
552,2,107881,2813,6628,0.9333931228
553,2,108346,2814,6640,0.2632118392
554,2,108812,2817,6652,0.6173271634
555,2,109747,2820,6664,0.0119047876
556,2,109747,2827,6676,0.6004574867
557,2,110216,2830,6688,0.1422658723
558,2,110686,2835,6700,0.8787087655
559,2,110686,2839,6712,0.4929211782
560,2,111629,2841,6724,0.9163309289
561,2,111629,2844,6736,0.6941576320
562,2,112576,2852,6748,0.5619268716
563,2,112576,2851,6760,0.0052705565
564,2,112576,2856,6772,0.7580422190
565,2,113527,2861,6784,0.7472605036
566,2,113527,2860,6796,0.8404602114
567,2,113527,2870,6808,0.8521626735
568,2,114004,2869,6820,0.9540649748
569,2,114482,2875,6832,0.3693792960
570,2,114482,2881,6844,0.7942219861
571,2,114482,2881,6856,0.9629347567
572,2,114961,2887,6868,0.8987968297
573,2,114961,2889,6880,1.0017702176
574,2,114961,2892,6892,0.8360263521
575,2,115441,2895,6904,0.7286172182
576,2,115922,2899,6916,0.6709019681
577,2,116887,2905,6928,0.4895203368
578,2,117856,2902,6940,0.9583290707
579,2,117856,2909,6952,0.7129586508
580,2,117856,2914,6964,0.7338379647
581,2,117856,2917,6976,0.0498465045
582,2,118342,2920,6988,0.8212769543
583,2,118829,2927,7000,0.8483787362
584,2,118829,2925,7012,0.9499813896
585,2,119317,2933,7024,0.2481334006
586,2,119806,2937,7036,0.7941230787
587,2,119806,2940,7048,0.9298077648
588,2,120787,2943,7060,0.9652184108
589,2,121279,2946,7072,0.9997144252
590,2,122266,2952,7084,0.0035263340
591,2,122761,2956,7096,0.7759158376
592,2,122761,2958,7108,0.4594350483
593,2,123754,2962,7120,0.8722874502
594,2,123754,2965,7132,0.9322047704
595,2,124252,2970,7144,0.1287395350
596,2,124252,2970,7156,0.5664244536
597,2,125251,2976,7168,0.9587381920
598,2,125251,2977,7180,0.7604663164
599,2,125752,2986,7192,0.8379795442
600,2,125752,2987,7204,0.5047680837
