n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 1.670          | 217.0654       | 84.4699        | 0.3891         | True
3   | 1.140          | 227.8740       | 96.0486        | 0.4215         | True
4   | 0.790          | 104.8346       | 60.4645        | 0.5768         | True
5   | 0.850          | 272.2122       | 158.0205       | 0.5805         | True
6   | 0.800          | 310.2264       | 206.9962       | 0.6672         | True
7   | 0.550          | 184.4978       | 174.2259       | 0.9443         | True
8   | 1.100          | 1679.3994      | 1050.5275      | 0.6255         | True
9   | 0.720          | 612.0811       | 460.5018       | 0.7524         | True
10  | 0.660          | 572.5400       | 551.6810       | 0.9636         | True
11  | 0.510          | 355.7536       | 352.6256       | 0.9912         | True
12  | 0.510          | 440.5361       | 460.3364       | 1.0449         | False
13  | 0.610          | 696.3494       | 597.5741       | 0.8582         | True
14  | 0.650          | 1117.6244      | 979.1868       | 0.8761         | True
15  | 0.560          | 926.4683       | 1098.3883      | 1.1856         | False
16  | 0.630          | 1367.6274      | 1236.3354      | 0.9040         | True
17  | 0.560          | 1274.8478      | 1181.8546      | 0.9271         | True
18  | 0.600          | 1441.0639      | 1528.7457      | 1.0608         | False
19  | 0.480          | 931.5234       | 1030.4350      | 1.1062         | False
20  | 0.510          | 1134.5704      | 1278.2374      | 1.1266         | False
21  | 0.360          | 551.1063       | 734.3127       | 1.3324         | False
22  | 0.500          | 1271.3247      | 1392.1866      | 1.0951         | False
23  | 0.420          | 901.5891       | 1025.5415      | 1.1375         | False
24  | 0.410          | 1061.2652      | 1325.5362      | 1.2490         | False
25  | 0.550          | 2243.7711      | 2435.1423      | 1.0853         | False
26  | 0.470          | 1548.6539      | 2011.2020      | 1.2987         | False
27  | 0.440          | 1414.0357      | 1567.4988      | 1.1085         | False
28  | 0.330          | 767.7853       | 1159.4852      | 1.5102         | False
29  | 0.430          | 1406.4308      | 1730.3574      | 1.2303         | False
30  | 0.460          | 1991.2022      | 1958.1910      | 0.9834         | True
31  | 0.490          | 2409.6078      | 2951.4458      | 1.2249         | False
32  | 0.440          | 1845.8300      | 2347.0299      | 1.2715         | False
33  | 0.410          | 1594.6145      | 2119.7700      | 1.3293         | False
34  | 0.420          | 1828.5728      | 2144.4756      | 1.1728         | False
35  | 0.430          | 1941.3731      | 2536.0328      | 1.3063         | False
36  | 0.450          | 2432.7616      | 3084.3446      | 1.2678         | False
37  | 0.370          | 1504.4014      | 2051.0860      | 1.3634         | False
38  | 0.410          | 2212.2887      | 2923.1328      | 1.3213         | False
39  | 0.480          | 3354.5489      | 3796.9853      | 1.1319         | False
40  | 0.470          | 3334.9687      | 4091.5991      | 1.2269         | False
41  | 0.360          | 1758.0033      | 2353.1406      | 1.3385         | False
42  | 0.380          | 2200.6489      | 3023.8940      | 1.3741         | False
43  | 0.420          | 2833.3935      | 3646.6814      | 1.2870         | False
44  | 0.430          | 2987.3247      | 3705.8168      | 1.2405         | False
45  | 0.410          | 2844.3161      | 4003.1284      | 1.4074         | False
46  | 0.420          | 2939.9556      | 3817.2778      | 1.2984         | False
47  | 0.420          | 3153.4813      | 4234.8790      | 1.3429         | False
48  | 0.420          | 3390.3749      | 4234.5861      | 1.2490         | False
49  | 0.390          | 2840.2759      | 3728.0802      | 1.3126         | False
50  | 0.380          | 2804.5736      | 4266.8374      | 1.5214         | False
51  | 0.340          | 2167.3642      | 3071.1482      | 1.4170         | False
52  | 0.380          | 2919.1360      | 3986.0946      | 1.3655         | False
53  | 0.440          | 4431.3815      | 5658.4499      | 1.2769         | False
54  | 0.350          | 2602.3927      | 3648.4563      | 1.4020         | False
55  | 0.330          | 2268.5307      | 3415.4692      | 1.5056         | False
56  | 0.350          | 2829.7498      | 4072.6801      | 1.4392         | False
57  | 0.400          | 3869.1442      | 4971.5335      | 1.2849         | False
58  | 0.360          | 3131.0393      | 4399.1044      | 1.4050         | False
59  | 0.360          | 3177.8146      | 4939.3020      | 1.5543         | False
60  | 0.390          | 4042.1345      | 5107.0504      | 1.2635         | False
61  | 0.360          | 3269.2717      | 4455.4449      | 1.3628         | False
62  | 0.310          | 2470.3327      | 4037.2039      | 1.6343         | False
63  | 0.370          | 3681.8954      | 5505.5506      | 1.4953         | False
64  | 0.390          | 4414.6792      | 6018.2855      | 1.3632         | False
65  | 0.360          | 3676.2699      | 5498.3545      | 1.4956         | False
66  | 0.340          | 3370.0618      | 5154.9689      | 1.5296         | False
67  | 0.390          | 4765.1480      | 6561.9945      | 1.3771         | False
68  | 0.380          | 4299.3365      | 6238.4420      | 1.4510         | False
69  | 0.360          | 4087.3674      | 5717.1040      | 1.3987         | False
70  | 0.320          | 3159.1592      | 4947.9366      | 1.5662         | False
71  | 0.340          | 3719.5843      | 5250.1825      | 1.4115         | False
72  | 0.320          | 3197.4924      | 5302.4144      | 1.6583         | False
73  | 0.340          | 3868.5666      | 5853.3101      | 1.5130         | False
74  | 0.390          | 5561.0853      | 8053.2880      | 1.4482         | False
75  | 0.420          | 7165.8762      | 9405.2288      | 1.3125         | False
76  | 0.340          | 4034.8378      | 5822.7015      | 1.4431         | False
77  | 0.290          | 2890.6886      | 4766.1926      | 1.6488         | False
78  | 0.290          | 2942.5907      | 4838.9486      | 1.6445         | False
79  | 0.310          | 3585.0971      | 5507.8232      | 1.5363         | False
80  | 0.290          | 3049.7864      | 4833.6772      | 1.5849         | False
81  | 0.330          | 4374.8661      | 6432.4646      | 1.4703         | False
82  | 0.350          | 5248.3616      | 8193.6940      | 1.5612         | False
83  | 0.330          | 4340.3847      | 7084.8564      | 1.6323         | False
84  | 0.290          | 3290.1246      | 5384.1094      | 1.6364         | False
85  | 0.290          | 3328.5262      | 5623.6853      | 1.6895         | False
86  | 0.390          | 7480.2878      | 10346.0657     | 1.3831         | False
87  | 0.310          | 3974.7366      | 6284.7820      | 1.5812         | False
88  | 0.390          | 7869.6633      | 10834.1074     | 1.3767         | False
89  | 0.310          | 4245.3668      | 6708.6409      | 1.5802         | False
90  | 0.280          | 3356.7246      | 5686.6559      | 1.6941         | False
91  | 0.330          | 5043.6568      | 7613.1781      | 1.5095         | False
92  | 0.310          | 4424.9524      | 6557.0663      | 1.4818         | False
93  | 0.350          | 6321.4562      | 9395.0705      | 1.4862         | False
94  | 0.320          | 4857.2792      | 7533.4242      | 1.5510         | False
95  | 0.350          | 6467.4142      | 9689.3185      | 1.4982         | False
96  | 0.340          | 6015.4159      | 9062.0733      | 1.5065         | False
97  | 0.320          | 5027.8544      | 7983.9780      | 1.5879         | False
98  | 0.340          | 6346.0408      | 9954.3996      | 1.5686         | False
99  | 0.310          | 5057.8722      | 7828.9118      | 1.5479         | False
100 | 0.300          | 4756.1396      | 7470.0499      | 1.5706         | False
