n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 154343.8857    | 43054.6134     | 0.2790         | True
3   | 1.840          | 1422751.6890   | 112414.8533    | 0.0790         | True
4   | 1.050          | 13183.6603     | 3193.3641      | 0.2422         | True
5   | 0.420          | 1092.9441      | 605.1797       | 0.5537         | True
6   | 1.340          | 990748.5863    | 416836.3856    | 0.4207         | True
7   | 0.600          | 11045.7584     | 9862.2532      | 0.8929         | True
8   | 1.810          | 160144957.0300 | 16554492.7281  | 0.1034         | True
9   | 1.100          | 3383971.8118   | 1166005.4223   | 0.3446         | True
10  | 0.900          | 596327.1339    | 478392.2230    | 0.8022         | True
11  | 0.590          | 47032.0191     | 41512.1074     | 0.8826         | True
12  | 0.810          | 843587.8538    | 644115.7231    | 0.7635         | True
13  | 0.890          | 1241199.8599   | 396073.6615    | 0.3191         | True
14  | 0.820          | 1730583.2627   | 763588.9227    | 0.4412         | True
15  | 0.710          | 1070625.0357   | 1186385.1951   | 1.1081         | False
16  | 0.410          | 41408.1054     | 34779.7969     | 0.8399         | True
17  | 0.840          | 7604470.3837   | 3770653.6051   | 0.4958         | True
18  | 1.240          | 94168108.4931  | 35628280.1390  | 0.3783         | True
19  | 0.490          | 201741.5200    | 193697.0730    | 0.9601         | True
20  | 0.520          | 190063.4824    | 178183.5196    | 0.9375         | True
21  | 0.160          | 1105.4010      | 1475.2572      | 1.3346         | False
22  | 0.400          | 52535.9881     | 53137.5521     | 1.0115         | False
23  | 0.500          | 274027.9926    | 238848.8153    | 0.8716         | True
24  | 0.150          | 1541.2206      | 1951.3404      | 1.2661         | False
25  | 0.710          | 5261851.0389   | 4796764.1925   | 0.9116         | True
26  | 0.600          | 1895521.7998   | 1922892.9925   | 1.0144         | False
27  | 0.240          | 11648.4709     | 11916.8434     | 1.0230         | False
28  | 0.150          | 1551.8229      | 2346.1831      | 1.5119         | False
29  | 0.460          | 322410.4888    | 316289.5373    | 0.9810         | True
30  | 0.690          | 11378297.7690  | 6212422.0516   | 0.5460         | True
31  | 0.720          | 10720863.2558  | 10634865.1169  | 0.9920         | True
32  | 0.590          | 3443127.2713   | 3591489.8692   | 1.0431         | False
33  | 0.550          | 1475616.9739   | 1635654.4935   | 1.1085         | False
34  | 0.590          | 2895887.0776   | 1803877.0557   | 0.6229         | True
35  | 0.560          | 1489852.6914   | 1420090.4240   | 0.9532         | True
36  | 0.640          | 6479271.6062   | 7045104.1097   | 1.0873         | False
37  | 0.480          | 737569.1242    | 773179.4255    | 1.0483         | False
38  | 0.180          | 7394.2793      | 9523.1872      | 1.2879         | False
39  | 0.470          | 1163045.3668   | 1086700.9199   | 0.9344         | True
40  | 0.580          | 4450951.7863   | 4399055.8479   | 0.9883         | True
41  | 0.460          | 965830.4899    | 998876.1485    | 1.0342         | False
42  | 0.520          | 3454940.9498   | 3688783.9021   | 1.0677         | False
43  | 0.530          | 3882730.9209   | 4015367.8768   | 1.0342         | False
44  | 0.650          | 15532073.2142  | 9891868.3998   | 0.6369         | True
45  | 0.590          | 9202056.2049   | 9368365.1081   | 1.0181         | False
46  | 0.570          | 5465755.4539   | 5075863.6926   | 0.9287         | True
47  | 0.170          | 8879.6194      | 11557.7093     | 1.3016         | False
48  | 0.520          | 5597379.6378   | 3428717.4996   | 0.6126         | True
49  | 0.520          | 5949292.0784   | 6385532.3267   | 1.0733         | False
50  | 0.540          | 4696135.2854   | 6041105.6597   | 1.2864         | False
51  | 0.440          | 1480398.9047   | 1724289.6430   | 1.1647         | False
52  | 0.560          | 8404431.6820   | 8676957.8632   | 1.0324         | False
53  | 0.500          | 3441032.7338   | 3511763.9058   | 1.0206         | False
54  | 0.360          | 645556.2338    | 804309.1301    | 1.2459         | False
55  | 0.470          | 2662300.4102   | 2926401.4232   | 1.0992         | False
56  | 0.460          | 3960534.7439   | 4876300.2326   | 1.2312         | False
57  | 0.530          | 11303918.3256  | 7703437.8643   | 0.6815         | True
58  | 0.510          | 7578510.6363   | 9544012.1081   | 1.2594         | False
59  | 0.560          | 11906867.8719  | 14529570.2862  | 1.2203         | False
60  | 0.480          | 5444101.7218   | 4341350.6158   | 0.7974         | True
61  | 0.440          | 2387317.3062   | 2328592.6032   | 0.9754         | True
62  | 0.460          | 3790491.8839   | 5313689.3443   | 1.4018         | False
63  | 0.540          | 11272197.7395  | 13633295.8887  | 1.2095         | False
64  | 0.510          | 7479520.6583   | 7906196.0049   | 1.0570         | False
65  | 0.480          | 4985786.7073   | 5215791.2598   | 1.0461         | False
66  | 0.450          | 5017037.2355   | 6603108.7894   | 1.3161         | False
67  | 0.560          | 20023499.6783  | 18394751.9564  | 0.9187         | True
68  | 0.620          | 32746238.8625  | 26506721.4821  | 0.8095         | True
69  | 0.480          | 6304563.3404   | 7062392.6842   | 1.1202         | False
70  | 0.220          | 61873.5356     | 90455.1106     | 1.4619         | False
71  | 0.360          | 827771.3470    | 987869.8028    | 1.1934         | False
72  | 0.470          | 5138193.3754   | 6979552.4437   | 1.3584         | False
73  | 0.390          | 1652329.9523   | 2131755.2421   | 1.2902         | False
74  | 0.590          | 42738763.4156  | 39801001.9381  | 0.9313         | True
75  | 0.750          | 322572253.5703 | 167385851.3579 | 0.5189         | True
76  | 0.440          | 3841007.2720   | 4234030.1513   | 1.1023         | False
77  | 0.320          | 557756.5263    | 795145.5380    | 1.4256         | False
78  | 0.190          | 38910.9039     | 60691.1940     | 1.5597         | False
79  | 0.340          | 829678.2292    | 1054663.2764   | 1.2712         | False
80  | 0.350          | 1148610.3814   | 1364512.1027   | 1.1880         | False
81  | 0.480          | 12348068.3488  | 10948143.2469  | 0.8866         | True
82  | 0.600          | 110265324.1611 | 123580112.8351 | 1.1208         | False
83  | 0.600          | 49650916.1988  | 48948976.6501  | 0.9859         | True
84  | 0.370          | 1636596.7018   | 2377228.3287   | 1.4525         | False
85  | 0.220          | 86183.5047     | 139441.7503    | 1.6180         | False
86  | 0.570          | 64367051.3089  | 40357668.6760  | 0.6270         | True
87  | 0.420          | 4305604.8895   | 5208220.7559   | 1.2096         | False
88  | 0.600          | 79113536.3977  | 77436736.4576  | 0.9788         | True
89  | 0.340          | 1485546.2974   | 1987379.0508   | 1.3378         | False
90  | 0.400          | 3312847.5929   | 4647713.3178   | 1.4029         | False
91  | 0.450          | 7131312.0236   | 8401907.0570   | 1.1782         | False
92  | 0.360          | 2005604.0325   | 2262164.6488   | 1.1279         | False
93  | 0.490          | 15293971.8273  | 17497186.4821  | 1.1441         | False
94  | 0.390          | 3074260.7706   | 3548521.3141   | 1.1543         | False
95  | 0.440          | 9621063.3644   | 9988215.7376   | 1.0382         | False
96  | 0.350          | 1768635.5008   | 2062016.9605   | 1.1659         | False
97  | 0.470          | 10513429.8642  | 11720042.9338  | 1.1148         | False
98  | 0.510          | 30468970.7284  | 39217450.3352  | 1.2871         | False
99  | 0.410          | 6052548.5369   | 7145876.3289   | 1.1806         | False
100 | 0.190          | 73209.4851     | 106775.7894    | 1.4585         | False
101 | 0.450          | 14876071.2460  | 19380915.9706  | 1.3028         | False
102 | 0.410          | 7100312.7505   | 9432998.8448   | 1.3285         | False
