n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
90  | 0.460      | 6.98176546e+08 | 8.49934149e+08 | 1.2174         | False
91  | 0.550      | 3.19927352e+09 | 3.39130356e+09 | 1.0600         | False
92  | 0.310      | 2.71409996e+07 | 2.97462271e+07 | 1.0960         | False
93  | 0.590      | 7.48551824e+09 | 7.57412051e+09 | 1.0118         | False
94  | 0.420      | 3.15489018e+08 | 3.16328860e+08 | 1.0027         | False
95  | 0.460      | 1.21216691e+09 | 1.14980176e+09 | 0.9486         | True
96  | 0.320      | 3.35769063e+07 | 3.78762628e+07 | 1.1280         | False
97  | 0.530      | 2.71855358e+09 | 2.52923948e+09 | 0.9304         | True
98  | 0.630      | 3.31269375e+10 | 3.89013919e+10 | 1.1743         | False
99  | 0.490      | 2.07953148e+09 | 2.11747535e+09 | 1.0182         | False
100 | 0.110      | 35399.4666     | 52095.6543     | 1.4717         | False
101 | 0.540      | 9.81239721e+09 | 1.23646993e+10 | 1.2601         | False
102 | 0.460      | 1.62825672e+09 | 1.85717755e+09 | 1.1406         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=13)
--------------------------------------------------------------------------------
2   | 2.000      | 2.31529635e+07 | 4937765.8737   | 0.2133         | True
3   | 2.000      | 1.69862159e+09 | 3.09514354e+07 | 0.0182         | True
4   | 1.170      | 1504991.6862   | 151036.0005    | 0.1004         | True
5   | 0.240      | 750.9197       | 422.8038       | 0.5630         | True
6   | 1.710      | 3.50247810e+09 | 1.02542106e+09 | 0.2928         | True
7   | 0.740      | 1673561.8853   | 1485133.5169   | 0.8874         | True
8   | 1.870      | 9.32394980e+11 | 1.97796595e+10 | 0.0212         | True
9   | 1.420      | 2.62313841e+10 | 5.38131710e+09 | 0.2051         | True
10  | 1.380      | 1.05370708e+10 | 7.40204590e+09 | 0.7025         | True
11  | 0.360      | 67416.6895     | 59451.7684     | 0.8819         | True
12  | 1.100      | 5.17041902e+09 | 2.48842740e+09 | 0.4813         | True
13  | 1.040      | 2.11170721e+09 | 2.68551891e+08 | 0.1272         | True
14  | 0.890      | 1.30971085e+09 | 3.61618151e+08 | 0.2761         | True
15  | 0.760      | 4.72444204e+08 | 5.19426605e+08 | 1.0994         | False
16  | 0.200      | 14244.6935     | 12058.2321     | 0.8465         | True
17  | 1.050      | 5.12929405e+10 | 1.50364230e+10 | 0.2931         | True
18  | 1.690      | 8.09982712e+12 | 9.67404846e+11 | 0.1194         | True
19  | 0.250      | 102861.3336    | 99147.0744     | 0.9639         | True
20  | 0.380      | 1162182.7297   | 1080255.9614   | 0.9295         | True
21  | 0.100      | 1027.1360      | 1379.7545      | 1.3433         | False
22  | 0.210      | 26526.9619     | 26975.8630     | 1.0169         | False
23  | 0.590      | 1.34805049e+08 | 1.09256196e+08 | 0.8105         | True
24  | 0.090      | 1261.6436      | 1611.2678      | 1.2771         | False
25  | 0.430      | 1.89071457e+07 | 1.71369572e+07 | 0.9064         | True
26  | 0.650      | 1.16935129e+09 | 1.14509769e+09 | 0.9793         | True
27  | 0.130      | 6610.3081      | 6848.8628      | 1.0361         | False
28  | 0.090      | 1249.7953      | 1896.2463      | 1.5172         | False
29  | 0.310      | 1343956.2560   | 1309186.6836   | 0.9741         | True
30  | 0.890      | 1.25238044e+11 | 4.52088591e+10 | 0.3610         | True
31  | 0.850      | 3.26523176e+10 | 3.05611562e+10 | 0.9360         | True
32  | 0.750      | 1.81440970e+10 | 1.84554971e+10 | 1.0172         | False
33  | 0.650      | 1.74698691e+09 | 1.82545505e+09 | 1.0449         | False
34  | 0.690      | 4.12230032e+09 | 1.54078608e+09 | 0.3738         | True
35  | 0.730      | 4.39913358e+09 | 3.57521246e+09 | 0.8127         | True
36  | 0.810      | 3.97555925e+10 | 4.08464683e+10 | 1.0274         | False
37  | 0.550      | 3.44247196e+08 | 2.95384206e+08 | 0.8581         | True
38  | 0.100      | 4609.7275      | 6016.5223      | 1.3052         | False
39  | 0.210      | 261489.8837    | 247204.9411    | 0.9454         | True
40  | 0.680      | 7.42351486e+09 | 7.02426027e+09 | 0.9462         | True
41  | 0.520      | 4.79954041e+08 | 4.23456355e+08 | 0.8823         | True
42  | 0.620      | 6.48344385e+09 | 6.05955180e+09 | 0.9346         | True
43  | 0.630      | 7.45469533e+09 | 7.24165691e+09 | 0.9714         | True
44  | 0.850      | 2.16241978e+11 | 6.47155798e+10 | 0.2993         | True
45  | 0.710      | 3.19492162e+10 | 2.86298312e+10 | 0.8961         | True
46  | 0.450      | 2.27393353e+08 | 2.02092690e+08 | 0.8887         | True
47  | 0.090      | 4606.5965      | 6124.4808      | 1.3295         | False
48  | 0.570      | 5.76946570e+09 | 2.35496328e+09 | 0.4082         | True
49  | 0.660      | 3.67864947e+10 | 3.83245919e+10 | 1.0418         | False
50  | 0.670      | 1.11071231e+10 | 1.28635217e+10 | 1.1581         | False
51  | 0.540      | 2.35114164e+09 | 2.52481451e+09 | 1.0739         | False
52  | 0.700      | 4.32043836e+10 | 3.75513290e+10 | 0.8692         | True
53  | 0.400      | 1.01335344e+08 | 1.01639015e+08 | 1.0030         | False
54  | 0.380      | 1.45565984e+08 | 1.79806706e+08 | 1.2352         | False
55  | 0.560      | 4.32112583e+09 | 3.20002277e+09 | 0.7406         | True
