n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 23152963.4736  | 4937765.8737   | 0.2133         | True
3   | 2.000          | 1698621587.2065 | 30951435.3525  | 0.0182         | True
4   | 1.170          | 1504991.6862   | 151036.0005    | 0.1004         | True
5   | 0.240          | 750.9197       | 422.8038       | 0.5630         | True
6   | 1.710          | 3502478102.6529 | 1025421064.5789 | 0.2928         | True
7   | 0.740          | 1673561.8853   | 1485133.5169   | 0.8874         | True
8   | 1.870          | 932394979666.9062 | 19779659549.4821 | 0.0212         | True
9   | 1.420          | 26231384145.4628 | 5381317096.3440 | 0.2051         | True
10  | 1.380          | 10537070761.6403 | 7402045903.1487 | 0.7025         | True
11  | 0.360          | 67416.6895     | 59451.7684     | 0.8819         | True
12  | 1.100          | 5170419017.3664 | 2488427396.5581 | 0.4813         | True
13  | 1.040          | 2111707208.2240 | 268551890.7345 | 0.1272         | True
14  | 0.890          | 1309710846.7385 | 361618151.3956 | 0.2761         | True
15  | 0.760          | 472444204.2335 | 519426605.3135 | 1.0994         | False
16  | 0.200          | 14244.6935     | 12058.2321     | 0.8465         | True
17  | 1.050          | 51292940506.2334 | 15036423037.9184 | 0.2931         | True
18  | 1.690          | 8099827122114.8203 | 967404845716.3162 | 0.1194         | True
19  | 0.250          | 102861.3336    | 99147.0744     | 0.9639         | True
20  | 0.380          | 1162182.7297   | 1080255.9614   | 0.9295         | True
21  | 0.100          | 1027.1360      | 1379.7545      | 1.3433         | False
22  | 0.210          | 26526.9619     | 26975.8630     | 1.0169         | False
23  | 0.590          | 134805049.1005 | 109256196.0559 | 0.8105         | True
24  | 0.090          | 1261.6436      | 1611.2678      | 1.2771         | False
25  | 0.430          | 18907145.6743  | 17136957.1502  | 0.9064         | True
26  | 0.650          | 1169351287.1098 | 1145097688.6406 | 0.9793         | True
27  | 0.130          | 6610.3081      | 6848.8628      | 1.0361         | False
28  | 0.090          | 1249.7953      | 1896.2463      | 1.5172         | False
29  | 0.310          | 1343956.2560   | 1309186.6836   | 0.9741         | True
30  | 0.890          | 125238044428.2421 | 45208859087.2734 | 0.3610         | True
31  | 0.850          | 32652317615.1540 | 30561156219.5586 | 0.9360         | True
32  | 0.750          | 18144096990.0998 | 18455497092.6133 | 1.0172         | False
33  | 0.650          | 1746986913.7168 | 1825455048.2508 | 1.0449         | False
34  | 0.690          | 4122300323.0041 | 1540786075.2978 | 0.3738         | True
35  | 0.730          | 4399133584.3571 | 3575212460.6040 | 0.8127         | True
36  | 0.810          | 39755592517.5059 | 40846468272.7554 | 1.0274         | False
37  | 0.550          | 344247196.4459 | 295384206.2692 | 0.8581         | True
38  | 0.100          | 4609.7275      | 6016.5223      | 1.3052         | False
39  | 0.210          | 261489.8837    | 247204.9411    | 0.9454         | True
40  | 0.680          | 7423514861.9132 | 7024260266.4588 | 0.9462         | True
41  | 0.520          | 479954040.5562 | 423456354.8246 | 0.8823         | True
42  | 0.620          | 6483443845.5060 | 6059551804.9632 | 0.9346         | True
43  | 0.630          | 7454695328.9220 | 7241656905.6980 | 0.9714         | True
44  | 0.850          | 216241978064.0269 | 64715579789.9497 | 0.2993         | True
45  | 0.710          | 31949216152.6721 | 28629831248.9019 | 0.8961         | True
46  | 0.450          | 227393352.9676 | 202092689.8477 | 0.8887         | True
47  | 0.090          | 4606.5965      | 6124.4808      | 1.3295         | False
48  | 0.570          | 5769465698.6155 | 2354963281.4169 | 0.4082         | True
49  | 0.660          | 36786494675.6465 | 38324591933.2378 | 1.0418         | False
50  | 0.670          | 11107123093.5341 | 12863521718.6279 | 1.1581         | False
51  | 0.540          | 2351141639.6235 | 2524814508.3149 | 1.0739         | False
52  | 0.700          | 43204383622.5209 | 37551329034.8503 | 0.8692         | True
53  | 0.400          | 101335344.3084 | 101639014.7302 | 1.0030         | False
54  | 0.380          | 145565984.4931 | 179806706.4949 | 1.2352         | False
55  | 0.560          | 4321125830.5510 | 3200022773.2569 | 0.7406         | True
56  | 0.630          | 36139444231.7697 | 41335871709.1796 | 1.1438         | False
57  | 0.600          | 27236576258.8900 | 14825501880.7520 | 0.5443         | True
58  | 0.780          | 334772601098.9889 | 392543656128.0215 | 1.1726         | False
59  | 0.680          | 44803289790.7906 | 46684912115.2681 | 1.0420         | False
60  | 0.500          | 3173038268.5945 | 2232343099.7850 | 0.7035         | True
61  | 0.530          | 3548745408.9175 | 3064011161.9716 | 0.8634         | True
