n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
89  | 0.330          | 369532.6097    | 503542.5054    | 1.3626         | False
90  | 0.370          | 583062.2857    | 854168.1493    | 1.4650         | False
91  | 0.420          | 1215915.9778   | 1487714.7584   | 1.2235         | False
92  | 0.360          | 580890.2636    | 675938.7708    | 1.1636         | False
93  | 0.460          | 2472856.1314   | 2953989.0844   | 1.1946         | False
94  | 0.380          | 742717.2150    | 903922.5127    | 1.2170         | False
95  | 0.430          | 2007531.3803   | 2195251.4753   | 1.0935         | False
96  | 0.360          | 626426.5751    | 749865.3747    | 1.1971         | False
97  | 0.440          | 1724673.4867   | 2062917.9442   | 1.1961         | False
98  | 0.460          | 3329463.8574   | 4424910.0111   | 1.3290         | False
99  | 0.390          | 1168213.0709   | 1446198.6313   | 1.2380         | False
100 | 0.250          | 116435.8999    | 169154.2090    | 1.4528         | False
101 | 0.430          | 2512713.6827   | 3337640.6949   | 1.3283         | False
102 | 0.390          | 1310552.2492   | 1845116.6565   | 1.4079         | False
