n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 44567.9676     | 13246.4631     | 0.2972         | True
3   | 1.740          | 216734.2513    | 24639.5603     | 0.1137         | True
4   | 1.010          | 4418.1757      | 1293.9701      | 0.2929         | True
5   | 0.520          | 1346.8772      | 740.8885       | 0.5501         | True
6   | 1.230          | 147593.4574    | 68080.3394     | 0.4613         | True
7   | 0.590          | 4503.5694      | 4031.2338      | 0.8951         | True
8   | 1.750          | 16334281.8945  | 2499374.9562   | 0.1530         | True
9   | 1.020          | 452455.2942    | 179112.8744    | 0.3959         | True
10  | 0.840          | 110171.2356    | 90459.1242     | 0.8211         | True
11  | 0.590          | 17688.4362     | 15762.6330     | 0.8911         | True
12  | 0.730          | 119344.6819    | 98432.7527     | 0.8248         | True
13  | 0.850          | 233186.9286    | 93408.4995     | 0.4006         | True
14  | 0.800          | 363297.4018    | 182242.1645    | 0.5016         | True
15  | 0.670          | 201423.1212    | 224212.1117    | 1.1131         | False
16  | 0.540          | 65479.3737     | 54843.1348     | 0.8376         | True
17  | 0.780          | 993634.8353    | 560620.7409    | 0.5642         | True
18  | 1.110          | 6739754.4671   | 3318333.2798   | 0.4924         | True
19  | 0.520          | 89456.2065     | 86116.9721     | 0.9627         | True
20  | 0.530          | 72315.9124     | 68704.9309     | 0.9501         | True
21  | 0.190          | 1179.9470      | 1570.6534      | 1.3311         | False
22  | 0.470          | 46988.7632     | 47481.7854     | 1.0105         | False
23  | 0.480          | 71290.4744     | 63850.1688     | 0.8956         | True
24  | 0.180          | 1696.4925      | 2140.9667      | 1.2620         | False
25  | 0.700          | 1098755.1039   | 1013644.6859   | 0.9225         | True
26  | 0.590          | 436528.5656    | 452977.5032    | 1.0377         | False
27  | 0.300          | 14656.4553     | 14921.2601     | 1.0181         | False
28  | 0.180          | 1718.7784      | 2595.2321      | 1.5099         | False
29  | 0.470          | 115818.4596    | 115360.0903    | 0.9960         | True
30  | 0.630          | 1305736.0847   | 796220.5998    | 0.6098         | True
31  | 0.680          | 1627336.2110   | 1657080.4670   | 1.0183         | False
32  | 0.560          | 589360.5866    | 623670.7684    | 1.0582         | False
33  | 0.520          | 292368.9136    | 331869.6300    | 1.1351         | False
34  | 0.560          | 541289.7756    | 384071.7958    | 0.7095         | True
35  | 0.540          | 344329.3301    | 342902.5607    | 0.9959         | True
36  | 0.600          | 998660.4069    | 1108187.0278   | 1.1097         | False
37  | 0.460          | 180314.8766    | 198484.6365    | 1.1008         | False
38  | 0.220          | 8572.2159      | 10984.2719     | 1.2814         | False
39  | 0.520          | 594953.7077    | 558048.0388    | 0.9380         | True
40  | 0.560          | 894908.8486    | 902655.4545    | 1.0087         | False
41  | 0.440          | 224359.2096    | 242952.6081    | 1.0829         | False
42  | 0.490          | 607608.2546    | 676597.3880    | 1.1135         | False
43  | 0.510          | 763117.1855    | 808781.0924    | 1.0598         | False
44  | 0.600          | 1938218.5793   | 1432472.3328   | 0.7391         | True
45  | 0.560          | 1481518.1697   | 1582621.8494   | 1.0682         | False
46  | 0.550          | 1044096.8443   | 1009339.3391   | 0.9667         | True
47  | 0.210          | 10653.3755     | 13748.0893     | 1.2905         | False
48  | 0.510          | 1160749.9405   | 805665.5502    | 0.6941         | True
49  | 0.500          | 1062661.5166   | 1160332.0328   | 1.0919         | False
50  | 0.510          | 863504.5423    | 1142061.8094   | 1.3226         | False
51  | 0.410          | 280349.0275    | 335426.7158    | 1.1965         | False
52  | 0.520          | 1215311.5771   | 1322793.3149   | 1.0884         | False
53  | 0.500          | 910647.1991    | 946306.8571    | 1.0392         | False
54  | 0.360          | 199337.7203    | 249958.7766    | 1.2539         | False
55  | 0.440          | 480541.6555    | 571474.3540    | 1.1892         | False
56  | 0.420          | 568228.2063    | 713222.1823    | 1.2552         | False
57  | 0.510          | 1865102.5961   | 1403108.0635   | 0.7523         | True
58  | 0.450          | 818802.0648    | 1046919.8877   | 1.2786         | False
59  | 0.520          | 1699891.7396   | 2168527.5498   | 1.2757         | False
60  | 0.460          | 1014765.3497   | 860694.0818    | 0.8482         | True
61  | 0.430          | 569481.7482    | 579764.6013    | 1.0181         | False
62  | 0.430          | 667487.4186    | 958558.0701    | 1.4361         | False
63  | 0.500          | 1579270.6667   | 1968069.0533   | 1.2462         | False
64  | 0.490          | 1413778.5322   | 1536910.6464   | 1.0871         | False
65  | 0.460          | 978485.1328    | 1099224.6212   | 1.1234         | False
66  | 0.430          | 933399.1939    | 1251211.3903   | 1.3405         | False
67  | 0.530          | 2942641.0047   | 2870983.2083   | 0.9756         | True
68  | 0.580          | 4246897.3432   | 3906827.4694   | 0.9199         | True
69  | 0.460          | 1211238.9702   | 1385550.5254   | 1.1439         | False
70  | 0.260          | 58623.7809     | 85517.3309     | 1.4587         | False
71  | 0.360          | 272602.4139    | 330719.6040    | 1.2132         | False
72  | 0.440          | 903413.3311    | 1276756.8616   | 1.4133         | False
73  | 0.380          | 427121.5836    | 559705.4838    | 1.3104         | False
74  | 0.560          | 5759665.6952   | 5675370.3040   | 0.9854         | True
75  | 0.680          | 24646462.5064  | 15946500.1438  | 0.6470         | True
76  | 0.420          | 783407.6050    | 899535.7577    | 1.1482         | False
77  | 0.310          | 160535.6681    | 232343.8702    | 1.4473         | False
78  | 0.230          | 41904.8333     | 65165.9212     | 1.5551         | False
79  | 0.330          | 236513.4800    | 307648.6879    | 1.3008         | False
80  | 0.340          | 300375.3332    | 376191.4752    | 1.2524         | False
81  | 0.450          | 1895079.3722   | 1890633.0885   | 0.9977         | True
82  | 0.540          | 9089336.1348   | 10687914.2367  | 1.1759         | False
83  | 0.550          | 5409211.4729   | 6142243.5469   | 1.1355         | False
84  | 0.350          | 364138.7992    | 540345.2460    | 1.4839         | False
85  | 0.260          | 81101.8089     | 131129.1482    | 1.6168         | False
86  | 0.540          | 8283101.8940   | 5980587.3279   | 0.7220         | True
87  | 0.400          | 850825.5859    | 1078793.1173   | 1.2679         | False
88  | 0.550          | 8438033.9170   | 8663727.2381   | 1.0267         | False
