n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
36  | 0.840          | 375821812083.8953 | 383093178519.0457 | 1.0193         | False
37  | 0.570          | 1924835919.3672 | 1567748840.8851 | 0.8145         | True
38  | 0.090          | 4325.4725      | 5658.3149      | 1.3081         | False
39  | 0.180          | 185669.2015    | 175928.4818    | 0.9475         | True
40  | 0.700          | 51999704338.3943 | 48946129489.8191 | 0.9413         | True
41  | 0.530          | 2340163362.1964 | 2000469572.3571 | 0.8548         | True
42  | 0.650          | 55351160580.6911 | 50421414102.8241 | 0.9109         | True
43  | 0.650          | 53945629692.5045 | 51955814173.4170 | 0.9631         | True
44  | 0.890          | 2629171334380.2642 | 629811879530.6060 | 0.2395         | True
45  | 0.750          | 340640014164.0493 | 298678168257.2197 | 0.8768         | True
46  | 0.360          | 94297221.2995  | 84003353.6988  | 0.8908         | True
47  | 0.080          | 4116.2290      | 5491.9922      | 1.3342         | False
48  | 0.590          | 42049139339.4992 | 15761426186.6883 | 0.3748         | True
49  | 0.720          | 620077087508.4958 | 643386747320.5105 | 1.0376         | False
50  | 0.700          | 90378699135.1191 | 102160381413.0470 | 1.1304         | False
51  | 0.560          | 16518283405.0361 | 17493978934.4786 | 1.0591         | False
52  | 0.720          | 354433601676.6046 | 299403158205.3341 | 0.8447         | True
53  | 0.330          | 54710206.8567  | 54924171.7608  | 1.0039         | False
54  | 0.410          | 1175964424.7972 | 1450722512.4135 | 1.2336         | False
55  | 0.580          | 31774521140.9220 | 21080566423.2103 | 0.6634         | True
56  | 0.670          | 429254762015.3011 | 482752980674.8786 | 1.1246         | False
57  | 0.610          | 189882479108.5964 | 100604371429.4806 | 0.5298         | True
58  | 0.850          | 6549429795745.1182 | 7544321815630.5957 | 1.1519         | False
59  | 0.720          | 503084379846.3806 | 503218029877.5088 | 1.0003         | False
60  | 0.500          | 15136922174.6629 | 10542409680.7146 | 0.6965         | True
61  | 0.550          | 25413152521.8580 | 21451286578.6544 | 0.8441         | True
62  | 0.510          | 12345011534.1632 | 16219216910.0498 | 1.3138         | False
63  | 0.720          | 745972533022.4640 | 818166874345.4838 | 1.0968         | False
64  | 0.550          | 30006732529.9760 | 29918133809.6762 | 0.9970         | True
65  | 0.540          | 24298799128.9115 | 18668102564.0448 | 0.7683         | True
66  | 0.580          | 131272204880.0708 | 162855642684.8505 | 1.2406         | False
67  | 0.580          | 116937981659.6489 | 94886918345.3991 | 0.8114         | True
68  | 0.850          | 6708612442242.0625 | 2775627237435.6733 | 0.4137         | True
69  | 0.590          | 87547448470.4752 | 93882488307.0579 | 1.0724         | False
70  | 0.100          | 23661.3863     | 34904.3432     | 1.4752         | False
71  | 0.360          | 264322248.1109 | 305423654.6917 | 1.1555         | False
72  | 0.570          | 45974954961.6549 | 52291851772.6717 | 1.1374         | False
73  | 0.360          | 396585928.9177 | 497807856.1526 | 1.2552         | False
74  | 0.420          | 5774592270.7651 | 5020365942.3828 | 0.8694         | True
75  | 1.120          | 1064010206339480.2500 | 146841245194431.0000 | 0.1380         | True
76  | 0.520          | 24923818191.7467 | 23429533324.8461 | 0.9400         | True
77  | 0.300          | 89436758.1815  | 124107629.9282 | 1.3877         | False
78  | 0.090          | 18414.1009     | 29010.2717     | 1.5754         | False
79  | 0.390          | 913499459.4608 | 1061282028.3375 | 1.1618         | False
80  | 0.400          | 2344796159.3838 | 2195734306.4271 | 0.9364         | True
81  | 0.560          | 161567180540.9854 | 75497168423.7090 | 0.4673         | True
82  | 0.900          | 177386141158717.5625 | 173894802508731.3438 | 0.9803         | True
83  | 0.800          | 11789083016565.6484 | 4485585951223.9570 | 0.3805         | True
84  | 0.460          | 8356434406.4810 | 10955732208.2411 | 1.3111         | False
85  | 0.110          | 55644.9935     | 90374.6401     | 1.6241         | False
86  | 0.720          | 7049832351971.3750 | 2798207899357.5908 | 0.3969         | True
87  | 0.480          | 22116925760.2910 | 22779942030.0655 | 1.0300         | False
88  | 0.940          | 102152471083372.3281 | 81860768295076.5625 | 0.8014         | True
89  | 0.410          | 7554410889.2890 | 9532822137.1472 | 1.2619         | False
90  | 0.490          | 30410428978.2553 | 33926620383.2599 | 1.1156         | False
91  | 0.610          | 264354298535.7580 | 261309480056.6805 | 0.9885         | True
92  | 0.200          | 5641390.7809   | 6224426.2465   | 1.1033         | False
93  | 0.650          | 629171323958.8560 | 588577694853.9135 | 0.9355         | True
94  | 0.430          | 7045328890.2244 | 6567523531.6418 | 0.9322         | True
95  | 0.450          | 20880009216.8872 | 19361095112.1697 | 0.9273         | True
96  | 0.270          | 73192024.6408  | 82468637.2477  | 1.1267         | False
97  | 0.550          | 109123407755.6185 | 94489764349.0180 | 0.8659         | True
98  | 0.690          | 4115501819045.5742 | 4596846735285.2930 | 1.1170         | False
99  | 0.540          | 144793397425.2671 | 132385310266.9749 | 0.9143         | True
100 | 0.090          | 35385.9154     | 52295.5181     | 1.4779         | False
101 | 0.710          | 9434362358809.1250 | 11621687723656.9355 | 1.2318         | False
102 | 0.480          | 64030311712.5729 | 67907309701.8902 | 1.0605         | False
