n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 1878541.1560   | 459617.2557    | 0.2447         | True
3   | 2.000          | 65466408.9025  | 2468482.4795   | 0.0377         | True
4   | 1.120          | 134960.0522    | 21611.3008     | 0.1601         | True
5   | 0.300          | 804.7061       | 449.9625       | 0.5592         | True
6   | 1.530          | 51561136.3549  | 18074961.2116  | 0.3506         | True
7   | 0.640          | 88936.2741     | 79190.5217     | 0.8904         | True
8   | 1.860          | 13016949783.0478 | 610118693.0208 | 0.0469         | True
9   | 1.260          | 252618743.0729 | 66828136.2637  | 0.2645         | True
10  | 1.080          | 38855712.6902  | 29661851.3078  | 0.7634         | True
11  | 0.520          | 150233.1620    | 132078.3116    | 0.8792         | True
12  | 0.970          | 61463920.4097  | 38393216.4609  | 0.6246         | True
13  | 0.970          | 46262881.0430  | 9252351.3013   | 0.2000         | True
14  | 0.860          | 46040391.3167  | 15952107.9308  | 0.3465         | True
15  | 0.770          | 31027577.0537  | 34187475.4899  | 1.1018         | False
16  | 0.270          | 21304.2410     | 17975.0137     | 0.8437         | True
17  | 0.950          | 554235723.8367 | 211207702.8542 | 0.3811         | True
18  | 1.470          | 23045340350.5730 | 4945864396.0509 | 0.2146         | True
19  | 0.350          | 186699.0896    | 179586.4213    | 0.9619         | True
20  | 0.490          | 1088778.8100   | 1011091.3580   | 0.9286         | True
21  | 0.120          | 973.8669       | 1304.8269      | 1.3398         | False
22  | 0.270          | 30470.4112     | 30915.7096     | 1.0146         | False
23  | 0.540          | 4975872.1475   | 4163517.1951   | 0.8367         | True
24  | 0.110          | 1262.8041      | 1607.0770      | 1.2726         | False
25  | 0.650          | 50681717.6505  | 45859863.3620  | 0.9049         | True
26  | 0.630          | 46414741.2799  | 45930610.3936  | 0.9896         | True
27  | 0.170          | 8460.9518      | 8719.7241      | 1.0306         | False
28  | 0.120          | 1662.6689      | 2519.0337      | 1.5151         | False
29  | 0.420          | 1730643.8245   | 1682949.4285   | 0.9724         | True
30  | 0.800          | 1113340794.2776 | 489566965.0609 | 0.4397         | True
31  | 0.800          | 609852767.6268 | 583127200.3888 | 0.9562         | True
32  | 0.650          | 157809999.3945 | 162000905.7482 | 1.0266         | False
33  | 0.600          | 43690852.1518  | 46738478.1220  | 1.0698         | False
34  | 0.650          | 108355854.2058 | 52000730.3790  | 0.4799         | True
35  | 0.610          | 40323472.8161  | 35780902.2504  | 0.8873         | True
36  | 0.740          | 494049068.1528 | 519474621.5543 | 1.0515         | False
37  | 0.520          | 15300733.8654  | 14531251.8722  | 0.9497         | True
38  | 0.130          | 5759.9877      | 7476.4464      | 1.2980         | False
39  | 0.300          | 542031.9924    | 509488.7213    | 0.9400         | True
