n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 3814.8030      | 1286.1402      | 0.3371         | True
3   | 1.480          | 5664.8938      | 1292.9697      | 0.2282         | True
4   | 0.920          | 597.0233       | 249.2354       | 0.4175         | True
5   | 0.840          | 1658.7420      | 898.8881       | 0.5419         | True
6   | 1.010          | 4804.9690      | 2664.8993      | 0.5546         | True
7   | 0.580          | 878.3405       | 796.2858       | 0.9066         | True
8   | 1.520          | 152058.3857    | 49679.5400     | 0.3267         | True
9   | 0.870          | 12167.5743     | 6504.6619      | 0.5346         | True
10  | 0.750          | 6313.6710      | 5503.2441      | 0.8716         | True
11  | 0.550          | 2133.6450      | 1975.4826      | 0.9259         | True
12  | 0.580          | 4072.9720      | 3779.5387      | 0.9280         | True
13  | 0.730          | 9189.1088      | 5574.2595      | 0.6066         | True
14  | 0.740          | 17354.7125     | 11436.5608     | 0.6590         | True
15  | 0.600          | 10164.9159     | 11494.5470     | 1.1308         | False
16  | 0.680          | 18204.2323     | 15341.6293     | 0.8428         | True
17  | 0.650          | 23093.0290     | 16696.2894     | 0.7230         | True
18  | 0.850          | 59733.9937     | 46142.5301     | 0.7725         | True
19  | 0.520          | 9169.0437      | 9106.4942      | 0.9932         | True
20  | 0.530          | 8891.2628      | 8934.2860      | 1.0048         | False
21  | 0.290          | 1303.7080      | 1722.5864      | 1.3213         | False
22  | 0.510          | 9179.3416      | 9400.4710      | 1.0241         | False
23  | 0.450          | 6716.4548      | 6539.1082      | 0.9736         | True
24  | 0.280          | 1949.2927      | 2438.1342      | 1.2508         | False
25  | 0.640          | 42552.9136     | 41346.5756     | 0.9717         | True
26  | 0.540          | 21711.9077     | 24423.7472     | 1.1249         | False
27  | 0.420          | 9010.2470      | 9159.5810      | 1.0166         | False
28  | 0.270          | 1835.3915      | 2761.1710      | 1.5044         | False
29  | 0.460          | 11825.3158     | 12625.0829     | 1.0676         | False
30  | 0.530          | 32450.6883     | 24743.9121     | 0.7625         | True
31  | 0.580          | 44637.5189     | 48878.2399     | 1.0950         | False
32  | 0.510          | 26760.8594     | 30018.5050     | 1.1217         | False
33  | 0.460          | 16080.2226     | 19448.2608     | 1.2095         | False
34  | 0.500          | 25867.8132     | 23688.5985     | 0.9158         | True
35  | 0.490          | 21590.0340     | 24128.1549     | 1.1176         | False
36  | 0.510          | 32559.7782     | 37978.4694     | 1.1664         | False
37  | 0.420          | 13841.4986     | 16834.5983     | 1.2162         | False
38  | 0.360          | 10722.6061     | 13599.4289     | 1.2683         | False
39  | 0.540          | 53234.9802     | 52509.6393     | 0.9864         | True
40  | 0.520          | 46253.4850     | 49872.0634     | 1.0782         | False
41  | 0.400          | 15940.6500     | 19025.6147     | 1.1935         | False
42  | 0.440          | 29266.6921     | 35837.1129     | 1.2245         | False
43  | 0.460          | 35118.1013     | 39907.2127     | 1.1364         | False
44  | 0.510          | 52066.4237     | 50105.2526     | 0.9623         | True
45  | 0.490          | 49227.7331     | 59390.5315     | 1.2064         | False
46  | 0.500          | 46908.7191     | 51327.2248     | 1.0942         | False
47  | 0.380          | 19069.1369     | 24106.6496     | 1.2642         | False
48  | 0.480          | 55453.2379     | 51013.7886     | 0.9199         | True
49  | 0.440          | 38455.3145     | 44676.3580     | 1.1618         | False
50  | 0.440          | 36080.5928     | 50705.7846     | 1.4053         | False
51  | 0.370          | 18607.2640     | 23789.4671     | 1.2785         | False
52  | 0.430          | 35739.5891     | 43289.0936     | 1.2112         | False
53  | 0.480          | 58264.6821     | 64877.1373     | 1.1135         | False
54  | 0.360          | 21111.0787     | 27283.0475     | 1.2924         | False
55  | 0.380          | 23394.5741     | 31626.3943     | 1.3519         | False
56  | 0.380          | 29566.9925     | 38950.1476     | 1.3174         | False
57  | 0.460          | 64006.5391     | 61921.1800     | 0.9674         | True
