n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 12967.0803     | 4103.1703      | 0.3164         | True
3   | 1.620          | 33970.2913     | 5509.3130      | 0.1622         | True
4   | 0.970          | 1590.7994      | 558.3675       | 0.3510         | True
5   | 0.680          | 1816.1455      | 990.7765       | 0.5455         | True
6   | 1.120          | 24833.5837     | 12561.9964     | 0.5058         | True
7   | 0.590          | 2025.5475      | 1821.3441      | 0.8992         | True
8   | 1.660          | 1614211.2307   | 363328.3237    | 0.2251         | True
9   | 0.950          | 71611.5268     | 32794.0693     | 0.4579         | True
10  | 0.790          | 24285.8582     | 20478.8268     | 0.8432         | True
11  | 0.570          | 5916.7902      | 5356.8800      | 0.9054         | True
12  | 0.650          | 19569.8352     | 17196.9179     | 0.8787         | True
13  | 0.790          | 42977.5320     | 21358.1376     | 0.4970         | True
14  | 0.770          | 75932.5962     | 43545.3927     | 0.5735         | True
15  | 0.630          | 41511.5725     | 46497.7592     | 1.1201         | False
16  | 0.650          | 51781.3444     | 43326.8025     | 0.8367         | True
17  | 0.720          | 146388.8625    | 93671.4126     | 0.6399         | True
18  | 0.980          | 573356.5740    | 359002.3388    | 0.6261         | True
19  | 0.530          | 30842.5504     | 29977.8028     | 0.9720         | True
20  | 0.530          | 25050.7498     | 24333.6020     | 0.9714         | True
21  | 0.230          | 1232.4202      | 1635.1298      | 1.3268         | False
22  | 0.500          | 23136.6726     | 23445.2030     | 1.0133         | False
23  | 0.470          | 22114.6913     | 20520.7736     | 0.9279         | True
24  | 0.220          | 1812.0779      | 2277.7286      | 1.2570         | False
25  | 0.680          | 222707.9574    | 209679.0338    | 0.9415         | True
26  | 0.570          | 96902.0271     | 103965.6799    | 1.0729         | False
27  | 0.380          | 16641.1932     | 16862.2750     | 1.0133         | False
28  | 0.210          | 1623.0003      | 2446.5993      | 1.5075         | False
29  | 0.470          | 37787.2313     | 38669.1888     | 1.0233         | False
30  | 0.580          | 190404.4489    | 129705.2045    | 0.6812         | True
31  | 0.630          | 252092.4660    | 265198.4716    | 1.0520         | False
32  | 0.540          | 124283.6600    | 134546.6952    | 1.0826         | False
33  | 0.490          | 64583.3398     | 75446.5242     | 1.1682         | False
34  | 0.530          | 111903.6101    | 90298.7847     | 0.8069         | True
35  | 0.520          | 86127.4734     | 90408.7081     | 1.0497         | False
