n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 537392.3810    | 140501.2952    | 0.2615         | True
3   | 1.940          | 10148412.8557  | 554528.9938    | 0.0546         | True
4   | 1.080          | 39779.4065     | 7883.1738      | 0.1982         | True
5   | 0.350          | 917.2800       | 510.6360       | 0.5567         | True
6   | 1.430          | 6654118.6749   | 2554751.3366   | 0.3839         | True
7   | 0.610          | 27922.3074     | 24892.2579     | 0.8915         | True
8   | 1.840          | 1454995370.6169 | 101332446.4864 | 0.0696         | True
9   | 1.180          | 27955697.2728  | 8425677.3713   | 0.3014         | True
10  | 0.980          | 4194110.3568   | 3288068.7724   | 0.7840         | True
11  | 0.570          | 103245.3944    | 90764.3120     | 0.8791         | True
12  | 0.890          | 6791318.8222   | 4726820.3411   | 0.6960         | True
13  | 0.940          | 7891587.2387   | 1994154.8515   | 0.2527         | True
14  | 0.840          | 8708652.2659   | 3397454.4824   | 0.3901         | True
15  | 0.740          | 5586902.9872   | 6170348.7352   | 1.1044         | False
16  | 0.330          | 30273.4875     | 25489.9262     | 0.8420         | True
17  | 0.900          | 64823859.1975  | 28189133.9473  | 0.4349         | True
18  | 1.350          | 1341962339.4972 | 384156533.9623 | 0.2863         | True
19  | 0.430          | 267099.5598    | 256601.2112    | 0.9607         | True
20  | 0.510          | 493143.4901    | 459135.1872    | 0.9310         | True
21  | 0.140          | 1098.1698      | 1468.6684      | 1.3374         | False
22  | 0.330          | 43418.2945     | 43988.9468     | 1.0131         | False
23  | 0.520          | 1130671.7143   | 964046.0696    | 0.8526         | True
24  | 0.130          | 1491.3662      | 1893.3488      | 1.2695         | False
25  | 0.700          | 21111637.9783  | 19134535.9778  | 0.9064         | True
26  | 0.620          | 9728177.8232   | 9721660.4113   | 0.9993         | True
27  | 0.200          | 9919.3372      | 10188.5042     | 1.0271         | False
28  | 0.130          | 1488.5060      | 2252.9005      | 1.5135         | False
29  | 0.450          | 893764.8194    | 870743.8088    | 0.9742         | True
30  | 0.750          | 112661036.0980 | 55129024.9480  | 0.4893         | True
31  | 0.760          | 77510378.3501  | 75314285.0661  | 0.9717         | True
32  | 0.610          | 19610972.0376  | 20264842.1042  | 1.0333         | False
33  | 0.580          | 8223328.8742   | 8938804.4380   | 1.0870         | False
34  | 0.620          | 16982791.9819  | 9281320.8855   | 0.5465         | True
35  | 0.580          | 6965027.3602   | 6396491.9936   | 0.9184         | True
36  | 0.690          | 53200038.9032  | 56812639.7635  | 1.0679         | False
37  | 0.500          | 3247095.9390   | 3240741.9155   | 0.9980         | True
38  | 0.150          | 6238.3626      | 8068.1629      | 1.2933         | False
39  | 0.380          | 944786.4590    | 884952.6378    | 0.9367         | True
40  | 0.610          | 27061316.8213  | 26338477.9186  | 0.9733         | True
41  | 0.470          | 3873239.0218   | 3833427.5923   | 0.9897         | True
42  | 0.550          | 21723510.9295  | 22319094.2503  | 1.0274         | False
43  | 0.560          | 24517315.1009  | 24843746.7782  | 1.0133         | False
44  | 0.700          | 142290945.2778 | 76853202.5769  | 0.5401         | True
45  | 0.620          | 62805542.8821  | 61409619.3334  | 0.9778         | True
46  | 0.570          | 23923985.3795  | 21646917.0325  | 0.9048         | True
47  | 0.140          | 7173.0738      | 9400.3241      | 1.3105         | False
48  | 0.530          | 28431179.2148  | 15534823.2358  | 0.5464         | True
49  | 0.550          | 42118600.7996  | 44688971.6386  | 1.0610         | False
50  | 0.580          | 31889079.8029  | 39927314.2838  | 1.2521         | False
51  | 0.470          | 8804823.9558   | 10011010.5651  | 1.1370         | False
52  | 0.600          | 65816998.7135  | 64606661.7019  | 0.9816         | True
53  | 0.500          | 13283059.3901  | 13412442.7693  | 1.0097         | False
54  | 0.360          | 2144581.7023   | 2662113.3814   | 1.2413         | False
55  | 0.500          | 16614361.8736  | 16718901.6673  | 1.0063         | False
56  | 0.500          | 31537700.5380  | 38110832.8248  | 1.2084         | False
57  | 0.550          | 74698497.6517  | 47022354.5078  | 0.6295         | True
58  | 0.580          | 94219498.2921  | 116704865.9894 | 1.2386         | False
59  | 0.590          | 81999431.2187  | 95980624.9745  | 1.1705         | False
60  | 0.490          | 27346142.1966  | 20787262.5826  | 0.7602         | True
61  | 0.460          | 12531551.4414  | 11786856.3159  | 0.9406         | True
62  | 0.480          | 20447064.7555  | 28088656.6780  | 1.3737         | False
63  | 0.580          | 90943851.8440  | 107140968.1502 | 1.1781         | False
64  | 0.530          | 43018983.8966  | 44529210.6654  | 1.0351         | False
65  | 0.500          | 27691101.3833  | 27026730.8072  | 0.9760         | True
66  | 0.470          | 29469246.5174  | 38196932.6745  | 1.2962         | False
67  | 0.590          | 152050004.2300 | 133200247.7102 | 0.8760         | True
68  | 0.670          | 322274649.6900 | 228969272.0277 | 0.7105         | True
69  | 0.490          | 30513020.2657  | 33686032.0930  | 1.1040         | False
70  | 0.180          | 48525.6778     | 71112.2520     | 1.4655         | False
71  | 0.360          | 2558038.5740   | 3016571.4675   | 1.1793         | False
72  | 0.500          | 32352265.4548  | 42257645.9660  | 1.3062         | False
73  | 0.390          | 5642936.0530   | 7198691.4678   | 1.2757         | False
74  | 0.600          | 269497816.6253 | 241751624.7407 | 0.8970         | True
75  | 0.830          | 5449875538.2819 | 2227749120.0969 | 0.4088         | True
76  | 0.460          | 20625920.0082  | 21894992.7088  | 1.0615         | False
77  | 0.320          | 1682843.3660   | 2372663.0399   | 1.4099         | False
78  | 0.150          | 25718.3728     | 40218.3643     | 1.5638         | False
79  | 0.350          | 3068325.7820   | 3822332.6364   | 1.2457         | False
80  | 0.360          | 4702235.3241   | 5308137.6011   | 1.1289         | False
81  | 0.500          | 76922618.2208  | 60237909.3010  | 0.7831         | True
82  | 0.650          | 1356407171.9186 | 1462013770.5161 | 1.0779         | False
83  | 0.650          | 532755748.1219 | 446435920.3446 | 0.8380         | True
84  | 0.390          | 8072028.5821   | 11473947.6168  | 1.4214         | False
85  | 0.180          | 67770.6138     | 109755.7978    | 1.6195         | False
86  | 0.600          | 555341858.4183 | 308029157.1258 | 0.5547         | True
87  | 0.430          | 20227678.5741  | 23439739.7944  | 1.1588         | False
88  | 0.650          | 841291064.0750 | 788476695.3687 | 0.9372         | True
89  | 0.350          | 6452811.7190   | 8504554.7057   | 1.3180         | False
90  | 0.420          | 17940858.1638  | 24030306.8534  | 1.3394         | False
91  | 0.480          | 46673679.7250  | 53051614.2900  | 1.1366         | False
92  | 0.360          | 7148848.2347   | 7907368.6213   | 1.1061         | False
93  | 0.520          | 104423473.1262 | 114585240.5903 | 1.0973         | False
94  | 0.400          | 13576835.6393  | 14901762.8852  | 1.0976         | False
95  | 0.450          | 48997255.6057  | 48871240.2883  | 0.9974         | True
96  | 0.350          | 5971226.8556   | 6841826.9648   | 1.1458         | False
97  | 0.490          | 61495435.9899  | 64094172.4173  | 1.0423         | False
98  | 0.550          | 279091724.5543 | 348012672.3854 | 1.2469         | False
99  | 0.440          | 40887563.5743  | 46016109.8479  | 1.1254         | False
100 | 0.160          | 66945.9018     | 97983.9802     | 1.4636         | False
101 | 0.470          | 97690117.5266  | 125561974.0775 | 1.2853         | False
102 | 0.430          | 42567438.7925  | 53493409.1686  | 1.2567         | False
