n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
34  | 0.740          | 1203807190984.2393 | 327844841107.1020 | 0.2723         | True
35  | 1.030          | 74852372062942.5781 | 43548252594728.7344 | 0.5818         | True
36  | 0.880          | 30100628735479.3008 | 30370194707457.7617 | 1.0090         | False
37  | 0.590          | 47096602932.7534 | 34429231144.5665 | 0.7310         | True
38  | 0.070          | 2951.3846      | 3877.1536      | 1.3137         | False
39  | 0.140          | 113746.6271    | 108192.4990    | 0.9512         | True
40  | 0.710          | 1733339095776.3152 | 1622211919737.8621 | 0.9359         | True
41  | 0.550          | 61607126476.0213 | 49934206478.8135 | 0.8105         | True
42  | 0.690          | 3355754399110.3550 | 2921770845223.3706 | 0.8707         | True
43  | 0.660          | 1848057720141.6335 | 1761487997498.7170 | 0.9532         | True
44  | 0.960          | 415257488926054.1875 | 62208704288733.4297 | 0.1498         | True
45  | 0.830          | 47282018151131.2344 | 39923711887028.5859 | 0.8444         | True
46  | 0.250          | 22749309.2002  | 20352437.8967  | 0.8946         | True
47  | 0.070          | 4631.0113      | 6218.3052      | 1.3428         | False
48  | 0.620          | 2109623868964.3279 | 673270531524.1998 | 0.3191         | True
49  | 0.870          | 371226003443489.6250 | 382282740015978.2500 | 1.0298         | False
50  | 0.750          | 6130623395780.3984 | 6630708115964.9219 | 1.0816         | False
51  | 0.600          | 973580431536.0896 | 1009773418949.8910 | 1.0372         | False
52  | 0.760          | 27571858916039.4453 | 22374286924741.5273 | 0.8115         | True
53  | 0.240          | 20022694.6797  | 20134125.6604  | 1.0056         | False
54  | 0.470          | 97887028220.1283 | 120355815838.4019 | 1.2295         | False
55  | 0.610          | 1660657953332.9021 | 882321646179.4436 | 0.5313         | True
56  | 0.740          | 62967413034849.2812 | 68734860560297.1719 | 1.0916         | False
57  | 0.630          | 10103163099242.9102 | 5171131442233.6260 | 0.5118         | True
58  | 0.980          | 2767126051802480.5000 | 3086748576290839.0000 | 1.1155         | False
59  | 0.820          | 113376258594744.7500 | 102942832246446.6562 | 0.9080         | True
60  | 0.460          | 123987049572.0549 | 85762215665.3175 | 0.6917         | True
61  | 0.590          | 1567881169264.9675 | 1276076503556.2583 | 0.8139         | True
62  | 0.480          | 120386837725.9919 | 157437127810.8777 | 1.3078         | False
63  | 0.790          | 105332371224003.9375 | 113187551270357.3281 | 1.0746         | False
64  | 0.500          | 222519235747.4573 | 221208134440.0735 | 0.9941         | True
65  | 0.560          | 911698217854.3511 | 639608176611.5284 | 0.7016         | True
66  | 0.650          | 18153302032515.4766 | 22131764477274.6680 | 1.2192         | False
67  | 0.400          | 33645230477.6611 | 27342315629.8718 | 0.8127         | True
68  | 0.940          | 1591673468061249.0000 | 496415372199488.4375 | 0.3119         | True
69  | 0.660          | 10491212269237.5020 | 11149247051714.2383 | 1.0627         | False
70  | 0.080          | 17599.0647     | 26023.0997     | 1.4787         | False
71  | 0.330          | 1090078847.9947 | 1257873293.1501 | 1.1539         | False
72  | 0.590          | 1708632623808.2129 | 1842271363797.2703 | 1.0782         | False
73  | 0.260          | 140565398.0962 | 176636266.4260 | 1.2566         | False
74  | 0.270          | 646913251.5961 | 564824665.1404 | 0.8731         | True
75  | 1.240          | 603979814725345664.0000 | 46383283387387192.0000 | 0.0768         | True
76  | 0.550          | 1230024057266.4536 | 1111367859400.3333 | 0.9035         | True
77  | 0.220          | 35713993.6692  | 49622318.1307  | 1.3894         | False
78  | 0.070          | 12059.2445     | 19043.3152     | 1.5791         | False
79  | 0.410          | 20275976837.9763 | 22799355786.5107 | 1.1245         | False
80  | 0.420          | 69896142022.5679 | 60095180599.5867 | 0.8598         | True
81  | 0.590          | 10097888590076.0938 | 3668620635519.2324 | 0.3633         | True
82  | 1.050          | 151961232353343872.0000 | 145206582147370464.0000 | 0.9556         | True
83  | 0.860          | 2315240984785583.0000 | 573887029168684.0000 | 0.2479         | True
84  | 0.480          | 265666390658.7869 | 337158116925.0906 | 1.2691         | False
85  | 0.090          | 46655.1898     | 75844.0359     | 1.6256         | False
86  | 0.800          | 1687253110474808.5000 | 598791221906363.3750 | 0.3549         | True
87  | 0.490          | 684779549135.2335 | 685510934171.0748 | 1.0011         | False
88  | 1.130          | 108714208664127248.0000 | 80746744656330112.0000 | 0.7427         | True
89  | 0.450          | 513236963782.9957 | 636185627588.7509 | 1.2396         | False
90  | 0.510          | 1326240453261.2642 | 1381599493746.5488 | 1.0417         | False
91  | 0.690          | 43947483690449.6172 | 40460632508992.9922 | 0.9207         | True
92  | 0.150          | 2657415.3868   | 2948661.1452   | 1.1096         | False
93  | 0.700          | 57214904755271.4141 | 49696578715387.6875 | 0.8686         | True
94  | 0.440          | 178036431897.6842 | 157373127570.3822 | 0.8839         | True
95  | 0.430          | 258307112249.1922 | 237754483579.0890 | 0.9204         | True
96  | 0.200          | 31736312.3590  | 35836479.5250  | 1.1292         | False
97  | 0.530          | 2048058883241.9619 | 1723492567916.0493 | 0.8415         | True
98  | 0.720          | 384404430690280.9375 | 413614266270553.5625 | 1.0760         | False
99  | 0.590          | 13209357257966.2754 | 10766630822928.2324 | 0.8151         | True
100 | 0.070          | 22726.4506     | 33691.6579     | 1.4825         | False
101 | 0.930          | 28255617814363384.0000 | 33758163504477824.0000 | 1.1947         | False
102 | 0.500          | 2993291664549.6333 | 3019484259172.6216 | 1.0088         | False
