n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 1016818140.7745 | 174587087.9898 | 0.1717         | True
3   | 2.000          | 228633298107.7396 | 1456805256.4158 | 0.0064         | True
4   | 1.240          | 73565148.5109  | 3328355.4924   | 0.0452         | True
5   | 0.180          | 634.5621       | 359.8833       | 0.5671         | True
6   | 1.960          | 2825635951085.1206 | 634899922592.8678 | 0.2247         | True
7   | 0.890          | 230295408.4160 | 201710428.4012 | 0.8759         | True
8   | 1.860          | 496172803790440.3750 | 3203788826653.5801 | 0.0065         | True
9   | 1.640          | 39626668472544.2578 | 5599587039527.6377 | 0.1413         | True
10  | 1.930          | 224785916159584.2812 | 119749109276359.6719 | 0.5327         | True
11  | 0.240          | 29559.2603     | 26157.0285     | 0.8849         | True
12  | 1.270          | 5718754420772.4795 | 1685749989425.1318 | 0.2948         | True
13  | 1.140          | 931533081930.9365 | 64115664410.9540 | 0.0688         | True
14  | 0.950          | 308366358043.7869 | 61541580018.7672 | 0.1996         | True
15  | 0.480          | 178550485.1711 | 196346098.7971 | 1.0997         | False
16  | 0.150          | 12763.1080     | 10841.8676     | 0.8495         | True
17  | 1.180          | 60266063987034.9688 | 12073914316677.9785 | 0.2003         | True
18  | 2.000          | 85174521225488352.0000 | 4267579941514391.5000 | 0.0501         | True
19  | 0.180          | 76473.6437     | 73871.8844     | 0.9660         | True
20  | 0.250          | 463576.6115    | 431992.1183    | 0.9319         | True
21  | 0.080          | 1091.2568      | 1470.1430      | 1.3472         | False
22  | 0.150          | 17779.5775     | 18123.6466     | 1.0194         | False
23  | 0.660          | 26956953203.3288 | 21034582380.5871 | 0.7803         | True
24  | 0.070          | 1220.7794      | 1565.1357      | 1.2821         | False
25  | 0.260          | 3916981.8321   | 3559612.7722   | 0.9088         | True
26  | 0.670          | 153183941276.0883 | 149194194426.8940 | 0.9740         | True
27  | 0.100          | 6465.7892      | 6734.5804      | 1.0416         | False
28  | 0.070          | 1194.7935      | 1815.6165      | 1.5196         | False
29  | 0.210          | 698680.1438    | 682421.5170    | 0.9767         | True
30  | 0.980          | 136179742640389.7500 | 39229028369722.8203 | 0.2881         | True
31  | 0.880          | 9499253704756.6719 | 8765961076643.6270 | 0.9228         | True
32  | 0.930          | 67228751151787.2812 | 67772907480650.9141 | 1.0081         | False
33  | 0.720          | 647596470425.2354 | 663305482213.1224 | 1.0243         | False
