n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 1.280          | 49.6175        | 20.6073        | 0.4153         | True
3   | 0.950          | 63.9988        | 34.7813        | 0.5435         | True
4   | 0.710          | 51.7835        | 34.7108        | 0.6703         | True
5   | 0.780          | 101.3318       | 65.5071        | 0.6465         | True
6   | 0.720          | 113.4897       | 84.0865        | 0.7409         | True
7   | 0.540          | 96.1212        | 95.0042        | 0.9884         | True
8   | 0.900          | 298.0863       | 239.3976       | 0.8031         | True
9   | 0.640          | 190.0640       | 171.7262       | 0.9035         | True
10  | 0.610          | 209.7345       | 218.5445       | 1.0420         | False
11  | 0.500          | 173.0579       | 181.1775       | 1.0469         | False
12  | 0.470          | 183.0680       | 208.4826       | 1.1388         | False
13  | 0.540          | 247.6828       | 248.8180       | 1.0046         | False
14  | 0.580          | 338.4453       | 340.8743       | 1.0072         | False
15  | 0.540          | 337.4612       | 424.3785       | 1.2576         | False
16  | 0.570          | 411.6537       | 403.3855       | 0.9799         | True
17  | 0.540          | 431.8142       | 464.6497       | 1.0760         | False
18  | 0.500          | 388.9978       | 466.0394       | 1.1981         | False
19  | 0.450          | 353.4980       | 432.6731       | 1.2240         | False
20  | 0.490          | 441.5562       | 542.3770       | 1.2283         | False
21  | 0.370          | 297.9923       | 411.7419       | 1.3817         | False
22  | 0.480          | 493.6980       | 581.8895       | 1.1786         | False
23  | 0.400          | 386.7371       | 493.5675       | 1.2762         | False
24  | 0.430          | 493.0657       | 634.1263       | 1.2861         | False
25  | 0.500          | 668.6849       | 792.7200       | 1.1855         | False
26  | 0.420          | 513.1838       | 731.6445       | 1.4257         | False
27  | 0.420          | 539.1023       | 666.8482       | 1.2370         | False
28  | 0.330          | 396.3298       | 609.4924       | 1.5378         | False
29  | 0.410          | 565.1937       | 770.7435       | 1.3637         | False
30  | 0.440          | 702.2571       | 808.6677       | 1.1515         | False
31  | 0.450          | 764.3199       | 1017.4769      | 1.3312         | False
32  | 0.400          | 636.6699       | 888.6433       | 1.3958         | False
33  | 0.380          | 612.7271       | 871.0352       | 1.4216         | False
34  | 0.390          | 674.3359       | 895.6328       | 1.3282         | False
35  | 0.400          | 721.6972       | 1036.4239      | 1.4361         | False
36  | 0.420          | 842.1467       | 1148.1590      | 1.3634         | False
37  | 0.350          | 632.0924       | 925.9412       | 1.4649         | False
38  | 0.400          | 846.5205       | 1193.3260      | 1.4097         | False
39  | 0.440          | 1032.1964      | 1300.1899      | 1.2596         | False
40  | 0.440          | 1080.3094      | 1462.1063      | 1.3534         | False
41  | 0.350          | 749.5134       | 1082.7481      | 1.4446         | False
42  | 0.360          | 827.2147       | 1223.0794      | 1.4786         | False
43  | 0.390          | 961.2321       | 1362.1198      | 1.4171         | False
44  | 0.390          | 973.8465       | 1380.9547      | 1.4180         | False
45  | 0.370          | 937.4557       | 1442.2018      | 1.5384         | False
46  | 0.380          | 989.5178       | 1420.4506      | 1.4355         | False
47  | 0.380          | 1023.4363      | 1505.0791      | 1.4706         | False
48  | 0.380          | 1073.3078      | 1554.4571      | 1.4483         | False
49  | 0.360          | 995.9007       | 1435.7894      | 1.4417         | False
50  | 0.350          | 1001.2658      | 1607.7890      | 1.6058         | False
51  | 0.320          | 878.9703       | 1346.4553      | 1.5319         | False
52  | 0.360          | 1092.5563      | 1618.4206      | 1.4813         | False
53  | 0.410          | 1424.3980      | 2017.1694      | 1.4162         | False
54  | 0.340          | 1048.7556      | 1585.1938      | 1.5115         | False
55  | 0.320          | 974.3997       | 1561.2984      | 1.6023         | False
56  | 0.330          | 1068.2151      | 1654.0459      | 1.5484         | False
57  | 0.360          | 1240.3841      | 1831.9090      | 1.4769         | False
58  | 0.350          | 1224.2500      | 1833.6223      | 1.4978         | False
59  | 0.330          | 1139.0452      | 1879.2136      | 1.6498         | False
60  | 0.370          | 1412.1466      | 2050.4911      | 1.4520         | False
61  | 0.340          | 1237.4586      | 1886.7526      | 1.5247         | False
62  | 0.290          | 1005.0083      | 1714.6235      | 1.7061         | False
63  | 0.340          | 1292.8886      | 2090.3819      | 1.6168         | False
64  | 0.360          | 1479.5622      | 2225.7020      | 1.5043         | False
65  | 0.330          | 1302.1564      | 2107.3963      | 1.6184         | False
66  | 0.320          | 1266.6711      | 2067.1303      | 1.6319         | False
67  | 0.350          | 1499.1611      | 2308.4980      | 1.5399         | False
68  | 0.340          | 1420.1515      | 2278.3221      | 1.6043         | False
69  | 0.330          | 1419.5239      | 2174.9597      | 1.5322         | False
70  | 0.310          | 1302.9601      | 2173.0603      | 1.6678         | False
71  | 0.320          | 1409.7546      | 2152.4978      | 1.5269         | False
72  | 0.300          | 1271.4965      | 2223.4793      | 1.7487         | False
