n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
69  | 0.390          | 14325.3568     | 18630.1358     | 1.3005         | False
70  | 0.320          | 7893.3805      | 11885.2836     | 1.5057         | False
71  | 0.340          | 9502.0937      | 12668.9276     | 1.3333         | False
72  | 0.340          | 9467.2135      | 15038.3060     | 1.5885         | False
73  | 0.350          | 11019.2357     | 15799.6666     | 1.4338         | False
74  | 0.450          | 26863.2441     | 34856.8332     | 1.2976         | False
75  | 0.480          | 37105.5156     | 41725.9517     | 1.1245         | False
76  | 0.360          | 12476.6227     | 16747.0210     | 1.3423         | False
77  | 0.300          | 7448.3016      | 11714.2894     | 1.5727         | False
78  | 0.290          | 6943.8933      | 11048.0107     | 1.5910         | False
79  | 0.310          | 8871.7091      | 12843.1322     | 1.4477         | False
80  | 0.310          | 8760.5707      | 13017.9992     | 1.4860         | False
81  | 0.360          | 15509.8606     | 20898.5224     | 1.3474         | False
82  | 0.400          | 24255.0310     | 34901.5524     | 1.4389         | False
83  | 0.380          | 17558.1200     | 26776.6752     | 1.5250         | False
84  | 0.290          | 7769.1113      | 12323.8998     | 1.5863         | False
85  | 0.290          | 7867.7831      | 12963.2006     | 1.6476         | False
86  | 0.440          | 36003.1761     | 42462.9614     | 1.1794         | False
87  | 0.330          | 11941.8050     | 17755.0555     | 1.4868         | False
88  | 0.430          | 34440.1926     | 43109.5014     | 1.2517         | False
89  | 0.310          | 10854.8514     | 16261.6605     | 1.4981         | False
90  | 0.300          | 9541.3300      | 15583.8798     | 1.6333         | False
91  | 0.350          | 15917.2969     | 22476.3580     | 1.4121         | False
92  | 0.330          | 13662.7158     | 18699.6441     | 1.3687         | False
93  | 0.380          | 23309.8326     | 32425.1130     | 1.3910         | False
94  | 0.340          | 15090.3375     | 21869.4187     | 1.4492         | False
95  | 0.370          | 22145.8031     | 30295.3907     | 1.3680         | False
96  | 0.350          | 18105.0427     | 25211.3742     | 1.3925         | False
97  | 0.340          | 15508.2234     | 22924.9245     | 1.4782         | False
98  | 0.370          | 23585.6239     | 35041.1812     | 1.4857         | False
99  | 0.330          | 16104.5783     | 23324.9730     | 1.4483         | False
100 | 0.310          | 13509.9079     | 20282.8113     | 1.5013         | False
101 | 0.370          | 24883.4842     | 37222.7167     | 1.4959         | False
102 | 0.300          | 12491.3604     | 20769.3164     | 1.6627         | False
