n   | Best Alpha     | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1?
--------------------------------------------------------------------------------
2   | 2.000          | 1141.4940      | 412.0831       | 0.3610         | True
3   | 1.320          | 1048.5213      | 330.0165       | 0.3147         | True
4   | 0.860          | 239.0967       | 117.8276       | 0.4928         | True
5   | 0.880          | 747.8818       | 411.0004       | 0.5496         | True
6   | 0.900          | 1093.7956      | 664.8354       | 0.6078         | True
7   | 0.570          | 398.3220       | 366.4597       | 0.9200         | True
8   | 1.330          | 14773.9461     | 6826.8174      | 0.4621         | True
9   | 0.800          | 2533.3074      | 1598.1562      | 0.6309         | True
10  | 0.700          | 1744.9955      | 1587.8883      | 0.9100         | True
11  | 0.530          | 833.6212       | 794.8883       | 0.9535         | True
12  | 0.540          | 1211.0979      | 1186.2858      | 0.9795         | True
13  | 0.670          | 2313.7514      | 1682.5590      | 0.7272         | True
14  | 0.700          | 4187.7998      | 3182.0306      | 0.7598         | True
15  | 0.580          | 2916.6635      | 3352.5929      | 1.1495         | False
16  | 0.670          | 5082.5491      | 4382.9768      | 0.8624         | True
17  | 0.600          | 4869.7247      | 3973.2824      | 0.8159         | True
18  | 0.720          | 7891.2592      | 7262.0142      | 0.9203         | True
19  | 0.500          | 2752.4495      | 2846.5186      | 1.0342         | False
20  | 0.520          | 3069.1853      | 3237.3232      | 1.0548         | False
21  | 0.340          | 991.0810       | 1306.9109      | 1.3187         | False
22  | 0.510          | 3431.7822      | 3597.8491      | 1.0484         | False
23  | 0.440          | 2417.6964      | 2514.8500      | 1.0402         | False
24  | 0.370          | 1983.9386      | 2469.0184      | 1.2445         | False
25  | 0.600          | 9267.7333      | 9428.9921      | 1.0174         | False
26  | 0.510          | 5523.7316      | 6622.1923      | 1.1989         | False
27  | 0.440          | 3776.5272      | 3935.8501      | 1.0422         | False
28  | 0.310          | 1344.4097      | 2020.4071      | 1.5028         | False
29  | 0.450          | 4007.3279      | 4546.1326      | 1.1345         | False
30  | 0.490          | 7116.9048      | 6116.8925      | 0.8595         | True
31  | 0.530          | 9220.6973      | 10608.3002     | 1.1505         | False
32  | 0.480          | 6655.4650      | 7869.4217      | 1.1824         | False
33  | 0.430          | 4570.4178      | 5765.8255      | 1.2616         | False
34  | 0.460          | 6316.0420      | 6549.6991      | 1.0370         | False
35  | 0.470          | 6501.8294      | 7815.6752      | 1.2021         | False
36  | 0.480          | 8284.3676      | 10003.3612     | 1.2075         | False
37  | 0.390          | 4111.2628      | 5276.9824      | 1.2835         | False
38  | 0.400          | 5600.4354      | 7163.5908      | 1.2791         | False
39  | 0.520          | 13294.0135     | 13873.1094     | 1.0436         | False
40  | 0.500          | 12086.0091     | 13760.8373     | 1.1386         | False
41  | 0.380          | 4977.3353      | 6266.4864      | 1.2590         | False
42  | 0.410          | 7405.5292      | 9571.7768      | 1.2925         | False
43  | 0.440          | 9351.6387      | 11202.0729     | 1.1979         | False
44  | 0.470          | 11370.9506     | 12408.4227     | 1.0912         | False
45  | 0.450          | 10762.3998     | 13970.1503     | 1.2981         | False
46  | 0.460          | 10724.7255     | 12721.5080     | 1.1862         | False
47  | 0.420          | 9072.8729      | 11588.9469     | 1.2773         | False
48  | 0.460          | 13560.7519     | 14529.1305     | 1.0714         | False
49  | 0.410          | 9229.6244      | 11290.1739     | 1.2233         | False
50  | 0.410          | 9351.8483      | 13625.6839     | 1.4570         | False
51  | 0.350          | 5733.1661      | 7664.9402      | 1.3369         | False
52  | 0.400          | 9099.6779      | 11655.1448     | 1.2808         | False
53  | 0.460          | 15166.3299     | 17894.9503     | 1.1799         | False
54  | 0.360          | 7398.2420      | 9866.6871      | 1.3337         | False
55  | 0.350          | 6464.9877      | 9223.1374      | 1.4266         | False
56  | 0.360          | 8183.8729      | 11182.5346     | 1.3664         | False
57  | 0.430          | 14277.5086     | 15912.2978     | 1.1145         | False
58  | 0.370          | 9126.4365      | 12339.4543     | 1.3521         | False
59  | 0.400          | 11681.9854     | 17235.5081     | 1.4754         | False
60  | 0.420          | 14838.5186     | 16573.2288     | 1.1169         | False
61  | 0.380          | 10146.2931     | 12557.9527     | 1.2377         | False
62  | 0.340          | 7863.2577      | 12388.2598     | 1.5755         | False
63  | 0.400          | 12792.8145     | 17998.4891     | 1.4069         | False
64  | 0.420          | 15878.1609     | 19996.9102     | 1.2594         | False
65  | 0.390          | 12560.0697     | 17475.3743     | 1.3913         | False
66  | 0.360          | 10729.8096     | 15659.4317     | 1.4594         | False
67  | 0.420          | 17564.7903     | 21890.8876     | 1.2463         | False
68  | 0.430          | 17681.4543     | 23148.6729     | 1.3092         | False
